Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1986-04-02,0.9968681786118483,0.9968681786118483,0.9505022168159484,0.9505022168159485,12800,0.0,0.0
1986-04-03,0.9505022168159484,0.9968681786118483,0.9505022168159484,0.9505022168159485,15700,0.0,0.0
1986-04-04,0.9505022168159484,0.9852766881628734,0.9505022168159484,0.9505022168159485,7900,0.0,0.0
1986-04-07,0.9505020871758462,0.9620935760438443,0.9273191094398499,0.9273191094398499,7500,0.0,0.0
1986-04-08,0.9389106631278992,0.9736851321326362,0.9389106631278992,0.9389106631278992,11800,0.0,0.0
1986-04-09,0.9389106631278992,0.9736851321326362,0.9389106631278992,0.9389106631278992,7500,0.0,0.0
1986-04-10,0.9505022168159484,0.9852766881628734,0.9505022168159484,0.9505022168159485,13100,0.0,0.0
1986-04-11,0.9852760434150696,1.0316419748698964,0.9852760434150696,0.9852760434150696,9400,0.0,0.0
1986-04-14,0.9852760434150696,1.0316419748698964,0.9852760434150696,0.9852760434150696,17000,0.0,0.0
1986-04-15,0.9852766881628734,0.9968681786118483,0.9505022168159484,0.9505022168159485,12500,0.0,0.0
1986-04-16,0.962093949317932,1.0084599227790372,0.962093949317932,0.9620939493179321,11100,0.0,0.0
1986-04-17,0.973685085773468,1.0200510422388713,0.973685085773468,0.973685085773468,12900,0.0,0.0
1986-04-18,0.9736851977138984,0.9968681786118483,0.9505022168159484,0.9505022168159485,9200,0.0,0.0
1986-04-21,0.9852760434150696,1.0200504920061897,0.9852760434150696,0.9852760434150696,9600,0.0,0.0
1986-04-22,0.9852760434150696,1.0316419748698964,0.9852760434150696,0.9852760434150696,9000,0.0,0.0
1986-04-23,1.0084595680236816,1.0548255251741958,1.0084595680236816,1.0084595680236816,13400,0.0,0.0
1986-04-24,1.0150863431220831,1.0500893204711206,1.0034186840057373,1.0034186840057373,6300,0.142,0.0
1986-04-25,1.0150870084762573,1.061757675532637,1.0150870084762573,1.0150870084762573,12000,0.0,0.0
1986-04-28,1.0150863431220831,1.0384216613547748,1.0034186840057373,1.0034186840057373,12200,0.0,0.0
1986-04-29,1.0034188551061294,1.0267541773178999,0.9917511940002443,0.9917511940002441,12200,0.0,0.0
1986-04-30,1.0034186840057373,1.0384216613547748,1.0034186840057373,1.0034186840057373,6300,0.0,0.0
1986-05-01,1.0034188551061294,1.0267541773178999,0.9917511940002443,0.9917511940002441,4200,0.0,0.0
1986-05-02,0.9917513671375455,1.0150866934231348,0.9800837039947509,0.980083703994751,12500,0.0,0.0
1986-05-05,0.9800837039947509,1.0150866934231348,0.9800837039947509,0.980083703994751,5600,0.0,0.0
1986-05-06,0.9800840081839726,1.0150870084762573,0.9684163414198776,1.0150870084762573,14000,0.0,0.0
1986-05-07,1.0150870084762573,1.050090008768542,0.9917516749480675,1.0150870084762573,21300,0.0,0.0
1986-05-08,1.0150861501693726,1.0500891208648682,1.0150861501693726,1.0500891208648682,7600,0.0,0.0
1986-05-09,1.0500891208648682,1.0500891208648682,1.0150861501693726,1.0500891208648682,15200,0.0,0.0
1986-05-12,1.0384224946158274,1.0384224946158274,1.0034194891793387,1.020920991897583,16900,0.0,0.0
1986-05-13,1.0209208458996892,1.0384223461151123,1.003419345684266,1.0384223461151123,11800,0.0,0.0
1986-05-14,1.038422163237225,1.038422163237225,1.0034191689708016,1.0267544984817505,8400,0.0,0.0
1986-05-15,1.0267546752403522,1.050090008768542,1.0150870084762573,1.0150870084762573,17100,0.0,0.0
1986-05-16,1.0150870084762573,1.0384223420044472,0.9917516749480675,1.0150870084762573,31200,0.0,0.0
1986-05-19,1.0150865162120146,1.0267541773178999,0.9917511940002443,0.9917511940002441,10600,0.0,0.0
1986-05-20,0.9917516749480675,1.0267546752403522,0.9800840081839726,1.0150870084762573,21800,0.0,0.0
1986-05-21,1.0150863431220831,1.0150863431220831,0.9684157066567001,1.0034186840057373,11300,0.0,0.0
1986-05-22,1.0034186840057373,1.0034186840057373,0.9684157066567001,1.0034186840057373,15300,0.0,0.0
1986-05-23,1.01008939743042,1.01008939743042,0.9748537207758704,1.01008939743042,8200,0.142,0.0
1986-05-27,1.0100907567070752,1.0100907567070752,0.963109791278839,0.9631097912788391,11200,0.0,0.0
1986-05-28,0.9631101159488453,1.0100910972146426,0.9631101159488453,0.9983458518981934,15500,0.0,0.0
1986-05-29,0.9983441718789035,1.01008939743042,0.9748537207758704,1.01008939743042,7400,0.0,0.0
1986-05-30,1.0100910972146426,1.021836342531092,0.9983458518981932,0.9983458518981934,4500,0.0,0.0
1986-06-02,0.9983441718789035,1.0218346229819364,0.9748537207758704,1.01008939743042,16900,0.0,0.0
1986-06-03,1.01008939743042,1.0218346229819364,0.9748537207758704,1.01008939743042,13200,0.0,0.0
1986-06-04,1.0100910972146426,1.0100910972146426,0.9631101159488453,0.9983458518981934,11700,0.0,0.0
1986-06-05,0.9983454477152176,0.9983454477152176,0.9689823463118289,0.9924728274345398,14000,0.0,0.0
1986-06-06,0.992472960480622,0.9983455815485546,0.9631098551409586,0.9866003394126892,8000,0.0,0.0
1986-06-09,0.9865998354825106,0.9865998354825106,0.9572367451407693,0.9689819812774658,10900,0.0,0.0
1986-06-10,0.9689825037157679,0.9807277461850499,0.9513646400118448,0.9748551249504089,7300,0.0,0.0
1986-06-11,0.9748546370489155,0.9807272553443909,0.951364163867014,0.9807272553443909,16900,0.0,0.0
1986-06-12,0.9807279839235192,0.9983458518981932,0.96898273860707,0.9983458518981934,6500,0.0,0.0
1986-06-13,0.9983455322005533,1.033581256866455,0.974855049089952,1.033581256866455,33100,0.0,0.0
1986-06-16,1.0335812394211932,1.0335812394211932,0.95136454992178,0.9631097912788391,20700,0.0,0.0
1986-06-17,0.963109791278839,0.963109791278839,0.939619308564721,0.9631097912788391,11900,0.0,0.0
1986-06-18,0.9631097242236137,0.9748549647629261,0.939619243144989,0.939619243144989,6800,0.0,0.0
1986-06-19,0.939619308564721,0.974855032635898,0.916128825850603,0.9631097912788391,15500,0.0,0.0
1986-06-20,0.9631091037892408,0.9631091037892408,0.9161281718970826,0.9454912543296814,24400,0.0,0.0
1986-06-23,0.9454919919371605,0.9866003394126892,0.9278741287333625,0.9866003394126892,12100,0.0,0.0
1986-06-24,0.9933171272277832,0.9933171272277832,0.9578415155410767,0.9933171272277832,4300,0.142,0.0
1986-06-25,0.9933174325198663,0.9933174325198663,0.957841809929871,0.9696670174598694,2600,0.0,0.0
1986-06-26,0.9696670174598695,1.0051426400498646,0.9460166023998726,0.9696670174598694,16400,0.0,0.0
1986-06-27,0.9696659301378712,0.9814911244078453,0.9460155415979231,0.9519281387329102,5100,0.0,0.0
1986-06-30,0.957841694355011,0.9933173126644559,0.957841694355011,0.957841694355011,5700,0.0,0.0
1986-07-01,0.957841809929871,0.9933174325198663,0.957841809929871,0.9696670174598694,11700,0.0,0.0
1986-07-02,0.9696670174598695,0.9696670174598695,0.9341913948698742,0.9696670174598694,11300,0.0,0.0
1986-07-03,0.957841694355011,0.957841694355011,0.9341912821487145,0.957841694355011,17900,0.0,0.0
1986-07-07,0.957841809929871,0.9696670174598695,0.9341913948698742,0.9696670174598694,1300,0.0,0.0
1986-07-08,0.9696662917733192,0.9814914904534816,0.9341906957328319,0.9460158944129944,6400,0.0,0.0
1986-07-09,0.9460158944129943,0.9814914904534816,0.9460158944129943,0.9460158944129944,9200,0.0,0.0
1986-07-10,0.9460162541952478,0.9814918637275696,0.9460162541952478,0.9814918637275696,8100,0.0,0.0
1986-07-11,0.9814918637275696,0.9814918637275696,0.9460162541952478,0.9814918637275696,3900,0.0,0.0
1986-07-14,0.9814918637275696,0.9814918637275696,0.9460162541952478,0.9814918637275696,6200,0.0,0.0
1986-07-15,0.9814914904534816,0.9814914904534816,0.9460158944129943,0.9460158944129944,2700,0.0,0.0
1986-07-16,0.9460158944129943,0.9814914904534816,0.9460158944129943,0.9460158944129944,5000,0.0,0.0
1986-07-17,0.9460158944129943,0.9814914904534816,0.9460158944129943,0.9460158944129944,12300,0.0,0.0
1986-07-18,0.9460164882518627,0.9814921065613076,0.9460164882518627,0.957841694355011,12000,0.0,0.0
1986-07-21,0.957841809929871,0.9696670174598695,0.9460166023998726,0.9696670174598694,4400,0.0,0.0
1986-07-22,0.9696667194366455,0.9933171272277832,0.9578415155410767,0.9933171272277832,7700,0.0,0.0
1986-07-23,0.9933171272277832,0.9933171272277832,0.9578415155410767,0.9933171272277832,11900,0.0,0.0
1986-07-24,0.9933171272277832,0.9933171272277832,0.9578415155410767,0.9933171272277832,10100,0.0,0.0
1986-07-25,1.0000802278518677,1.0000802278518677,0.964363076857158,1.0000802278518677,2200,0.142,0.0
1986-07-28,1.000079365595718,1.000079365595718,0.9643622453958709,0.9703150987625122,8400,0.0,0.0
1986-07-29,0.9703148107930839,0.9881733655929565,0.9524562559932112,0.9881733655929565,2900,0.0,0.0
1986-07-30,0.9881733722156948,0.9881733722156948,0.9643619656562805,0.9643619656562805,3600,0.0,0.0
1986-07-31,0.9711527058056422,1.0071213245391846,0.9591631662277947,1.0071213245391846,3400,0.1416,0.0
1986-08-01,1.007120694119506,1.007120694119506,0.959162565828101,0.9771468639373779,7700,0.0,0.0
1986-08-04,0.977147773805871,0.9951320886611938,0.9591634589505482,0.9951320886611938,9400,0.0,0.0
1986-08-05,0.9951320886611938,0.9951320886611938,0.9591634589505482,0.9951320886611938,1100,0.0,0.0
