Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-07-24,28.28146081411982,29.596878252585455,28.051262621259422,28.176227569580078,25400,0.0,0.0
2020-07-27,27.294897952141806,28.281460551396556,27.215973019470177,28.005224227905273,134400,0.0,0.0
2020-07-28,28.603738684592482,28.603738684592482,26.531956856079145,27.413286209106445,1073300,0.0,0.0
2020-07-29,27.801334438300472,29.254870031009368,27.492211313903663,28.79447364807129,550400,0.0,0.0
2020-07-30,29.531106506338798,29.741574876940778,26.781887054443356,26.78188705444336,8435300,0.0,0.0
2020-07-31,27.294898356704618,29.74815167661756,27.202820208082358,29.557415008544922,3094400,0.0,0.0
2020-08-03,29.761305308370357,31.537119167261285,29.695535470107107,30.912296295166016,5355200,0.0,0.0
2020-08-04,30.583439547572,30.938602673500256,29.675801911536595,29.70868682861328,2120600,0.0,0.0
2020-08-05,30.537401162305827,31.727853664778014,29.892846591966073,30.741291046142578,1235900,0.0,0.0
2020-08-06,30.386127257249697,30.728137180015338,30.123044148752143,30.60974884033203,786900,0.0,0.0
2020-08-07,30.300625951432952,31.88570310366156,30.228277625607664,31.58315658569336,1095900,0.0,0.0
2020-08-10,32.010668734078585,32.010668734078585,31.22141938566321,31.71470069885254,655200,0.0,0.0
2020-08-11,32.083018080308065,32.1487879205719,30.89256553068714,31.01095199584961,602300,0.0,0.0
2020-08-12,31.135915894973035,31.754164039153178,31.03068264874294,31.12276268005371,902000,0.0,0.0
2020-08-13,30.932025580356047,31.14907055898023,30.57686432012175,30.76759910583496,561200,0.0,0.0
2020-08-14,30.70840577234402,30.9912205871337,30.563709120416707,30.978065490722656,734000,0.0,0.0
2020-08-17,31.17537829141917,31.23457152007286,30.636056981133333,30.826791763305664,931400,0.0,0.0
2020-08-18,30.91229524213421,31.18195495692152,30.471630566593777,30.62290382385254,357200,0.0,0.0
2020-08-19,30.89913933150212,32.17180594756316,30.616324527933,32.10932159423828,1304000,0.0,0.0
2020-08-20,31.931738833454236,33.273464477891324,31.76073576533967,33.24715805053711,776900,0.0,0.0
2020-08-21,33.418163379588535,33.74044159882473,32.951192273240046,33.6088981628418,1009700,0.0,0.0
2020-08-24,34.01667767454254,35.06901010100265,33.81278967820501,35.03612518310547,1483100,0.0,0.0
2020-08-25,35.29920655468724,35.970069384440585,34.90458379588008,35.22028350830078,1142100,0.0,0.0
2020-08-26,35.174242288508914,35.62806392681423,34.66123306857683,35.549137115478516,455000,0.0,0.0
2020-08-27,35.79906823199691,35.84510636456861,35.4373266066563,35.62148666381836,613700,0.0,0.0
2020-08-28,35.75674334870807,35.8031533768753,34.79536187255793,34.95448684692383,381000,0.28933,0.0
2020-08-31,34.92133599626057,35.01415605182802,33.72126517155885,33.76104736328125,518000,0.0,0.0
2020-09-01,33.44942806574681,33.73452364782364,32.123382868719794,33.25714874267578,709100,0.0,0.0
2020-09-02,33.28367015204204,34.48373710026231,33.19084630902831,34.457218170166016,531000,0.0,0.0
2020-09-03,34.32461196605034,34.32461196605034,33.263778890751006,33.920169830322266,566300,0.0,0.0
2020-09-04,34.145595852078735,34.27820188318397,33.237256110214794,33.741153717041016,517200,0.0,0.0
2020-09-08,33.277038625553466,33.68148076456089,32.899119210562745,33.396385192871094,987600,0.0,0.0
2020-09-09,33.31682263537049,34.25831299724309,33.31682263537049,33.92680358886719,636200,0.0,0.0
2020-09-10,33.97984470119293,34.17874806672649,33.482578699682,33.4958381652832,429800,0.0,0.0
2020-09-11,33.40964723042365,33.82072103054655,33.31682337997551,33.535621643066406,482700,0.0,0.0
2020-09-14,33.847238589784105,33.847238589784105,32.607389403573045,33.25714874267578,610700,0.0,0.0
2020-09-15,33.568771110066706,34.669386431910254,33.43616507177588,34.2119026184082,709200,0.0,0.0
2020-09-16,34.47711150780198,35.100351931674304,34.25168161812483,34.941226959228516,564600,0.0,0.0
2020-09-17,34.60308295160381,35.007525080995904,34.357761987175486,34.9080696105957,532200,0.0,0.0
2020-09-18,35.179911094467315,35.345667690066556,33.91353920228724,34.48373794555664,1366400,0.0,0.0
2020-09-21,34.0726649525076,34.410805987256204,33.49583836019441,34.27157211303711,441600,0.0,0.0
2020-09-22,34.27820194169537,34.27820194169537,33.33671163890762,33.920169830322266,448100,0.0,0.0
2020-09-23,33.75441360473633,34.553354234557915,33.694744114754265,33.75441360473633,426300,0.0,0.0
2020-09-24,33.73452214522571,33.95995201910557,33.310188915105975,33.920169830322266,392600,0.0,0.0
2020-09-25,33.82734568724644,35.68380734636552,33.82071785173366,35.6241340637207,401400,0.0,0.0
2020-09-28,35.876084474280376,37.043000899075935,35.763369533286834,36.79768371582031,731000,0.0,0.0
2020-09-29,36.97670041825081,37.67287358369739,36.59877719235034,37.5866813659668,311900,0.0,0.0
2020-09-30,37.58668207947304,38.95913354712941,37.58668207947304,38.853050231933594,755300,0.0,0.0
2020-10-01,39.23097238917438,39.76802058031515,38.872940261747196,39.58900451660156,938900,0.0,0.0
2020-10-02,38.87294065363984,39.70834769477914,38.71381568360561,39.5425910949707,645800,0.0,0.0
2020-10-05,40.00670565341929,42.506298885548325,39.91056978685338,42.47314453125,677400,0.0,0.0
2020-10-06,40.755921674249464,41.425572120700465,40.42441226593642,40.73603057861328,1261200,0.0,0.0
2020-10-07,41.10732152763991,43.22235994152644,40.92167762770447,43.083126068115234,1185900,0.0,0.0
2020-10-08,43.06986589167602,43.29529197853374,41.77034343822157,42.055442810058594,697400,0.0,0.0
2020-10-09,42.221198195457426,42.70188889480221,41.644367838708355,42.25434875488281,374000,0.0,0.0
2020-10-12,42.67205297688165,44.40916819555464,42.563981691257275,44.17048263549805,681800,0.0,0.0
2020-10-13,43.42790000510201,43.699736130182046,42.75824575575792,43.063236236572266,980600,0.0,0.0
2020-10-14,43.28203374419018,43.58039258989579,42.71515079919796,43.39474868774414,754100,0.0,0.0
2020-10-15,42.74498556962552,43.6002837099436,42.26097902765785,43.51409149169922,362100,0.0,0.0
2020-10-16,43.36159449724401,44.26993429740835,43.28203390854506,44.110809326171875,549000,0.0,0.0
2020-10-19,44.40253846147647,45.29761496418443,44.16384911778463,44.9395866394043,446400,0.0,0.0
2020-10-20,45.22468361169114,45.74847234055054,44.787090894215574,45.45674133300781,610700,0.0,0.0
2020-10-21,45.74846968046811,46.21921293164023,44.96610434446409,45.13848876953125,503400,0.0,0.0
2020-10-22,45.01914917351085,45.29761692500683,43.93179330533624,44.289825439453125,536700,0.0,0.0
2020-10-23,44.26993352310985,44.289824618396324,42.30076061581063,42.784767150878906,927600,0.0,0.0
2020-10-26,42.877589564852634,43.04997399312389,41.55154441154617,42.267608642578125,624600,0.0,0.0
2020-10-27,42.267609457158265,43.88538184380619,42.24108673253857,43.653324127197266,683100,0.0,0.0
2020-10-28,42.64553246398042,43.62017335138939,42.54607698944577,42.87759017944336,733500,0.0,0.0
2020-10-29,42.904109500115595,44.49536296258946,42.459885160058406,44.309715270996094,508200,0.0,0.0
2020-10-30,44.415797290388205,44.68100556078042,43.533980265563876,44.26993179321289,770600,0.0,0.0
2020-11-02,44.422429497268,46.282203228912614,44.143957964357654,46.239105224609375,720500,0.0,0.0
2020-11-03,46.87561055955373,47.71101380677935,45.81477363224913,46.11313247680664,785300,0.0,0.0
2020-11-04,45.62912887145154,46.39823098181021,44.63459687909808,46.026939392089844,595200,0.0,0.0
2020-11-05,46.411493643018616,48.62598368734448,46.411493643018616,48.31436538696289,689900,0.0,0.0
2020-11-06,48.6259851071946,49.38845939418108,47.8303602591007,48.89119338989258,434600,0.0,0.0
2020-11-09,51.25817821694843,52.15988633562693,48.12208520531089,48.287841796875,1038500,0.0,0.0
2020-11-10,48.765216673006314,48.77184830244929,46.59116898569965,46.86897659301758,1202700,0.0,0.0
2020-11-11,47.6447113844273,49.77300922306315,47.4889022335454,49.0900993347168,710400,0.0,0.0
2020-11-12,49.40834833318929,49.69344769887628,47.96296041019031,48.82489013671875,1062900,0.0,0.0
2020-11-13,49.017166453797174,49.14976869458943,48.102195058209176,48.672393798828125,711900,0.0,0.0
2020-11-16,48.97075647256792,49.355307523819306,47.167336404222745,47.313201904296875,723800,0.0,0.0
2020-11-17,47.36624374437727,48.13534964372156,47.034734346964015,47.9695930480957,588600,0.0,0.0
2020-11-18,48.21491097622445,48.55968363818887,47.55188837729527,47.57841110229492,641000,0.0,0.0
2020-11-19,47.79720715971369,48.10219382324109,47.00821018943799,47.39276123046875,774300,0.0,0.0
2020-11-20,47.58504327177918,48.5331614637188,47.36624501494455,48.009376525878906,596900,0.0,0.0
2020-11-23,48.46685763897099,49.680187840912645,48.40055652017414,48.99064254760742,763200,0.0,0.0
2020-11-24,49.50117447079067,51.57643071119997,49.432217661415876,51.085792541503906,601800,0.0,0.0
2020-11-25,51.17861637444045,52.86600573698542,50.59515815109596,52.62400436401367,967200,0.0,0.0
2020-11-27,52.67333221435547,53.0,51.766666412353516,51.939998626708984,450800,0.28933,0.0
2020-11-30,52.63333511352539,53.313331604003906,51.63999938964844,52.766666412353516,2203700,0.0,0.0
2020-12-01,52.30666732788086,52.66666793823242,49.606666564941406,49.66666793823242,998400,0.0,0.0
2020-12-02,49.606666564941406,49.80666732788086,48.68000030517578,49.2933349609375,638900,0.0,0.0
2020-12-03,49.36000061035156,49.7400016784668,48.90666580200195,49.00666809082031,438200,0.0,0.0
2020-12-04,49.49333190917969,49.746665954589844,48.41999816894531,48.63333511352539,605400,0.0,0.0
2020-12-07,48.63333511352539,48.72600173950195,47.11333465576172,47.41999816894531,615600,0.0,0.0
2020-12-08,47.426666259765625,47.63999938964844,47.063331604003906,47.29999923706055,741500,0.0,0.0
2020-12-09,47.65999984741211,47.926666259765625,46.073333740234375,46.540000915527344,508200,0.0,0.0
2020-12-10,46.13333511352539,46.720001220703125,45.4466667175293,46.69333267211914,490100,0.0,0.0
2020-12-11,46.58000183105469,47.606666564941406,46.51333236694336,46.959999084472656,309800,0.0,0.0
2020-12-14,47.720001220703125,49.86000061035156,47.099998474121094,49.369998931884766,679300,0.0,1.5
2020-12-15,50.02000045776367,51.349998474121094,50.02000045776367,51.060001373291016,519500,0.0,0.0
2020-12-16,51.529998779296875,51.709999084472656,48.80799865722656,49.459999084472656,485200,0.0,0.0
2020-12-17,50.0,51.20000076293945,49.79999923706055,51.11000061035156,480300,0.0,0.0
2020-12-18,51.47999954223633,52.68899917602539,50.810001373291016,52.349998474121094,1256100,0.0,0.0
2020-12-21,52.720001220703125,53.58399963378906,52.22999954223633,53.45000076293945,669500,0.0,0.0
2020-12-22,53.849998474121094,57.77000045776367,53.650001525878906,57.650001525878906,634100,0.0,0.0
2020-12-23,58.63999938964844,61.4900016784668,57.68000030517578,58.20000076293945,642700,0.0,0.0
2020-12-24,58.150001525878906,58.790000915527344,57.7400016784668,58.56999969482422,288663,0.0,0.0
