Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2003-12-12,7.037753330577504,7.676564951949298,7.037753330577504,7.443777561187744,5871100,0.0,0
2003-12-15,7.443779177313512,7.714462056488548,7.443779177313512,7.687393665313721,458500,0.0,0
2003-12-16,7.63325787106129,7.676567093103303,7.579121085365448,7.611603260040283,290500,0.0,0
2003-12-17,7.61160304101091,7.681980137589041,7.530397864803884,7.660325527191162,301700,0.0,0
2003-12-18,7.633258355804288,7.714463023218228,7.57912156667054,7.589949131011963,366900,0.0,0
2003-12-19,7.589946766443063,7.660323847590331,7.5791192054748535,7.5791192054748535,85300,0.0,0
2003-12-22,7.622426256812419,7.622426256812419,7.535807858757838,7.606185436248779,169000,0.0,0
2003-12-23,7.633257865905762,7.66032574244875,7.5845348620697415,7.633257865905762,48700,0.0,0
2003-12-24,7.633259251065093,7.795668604941024,7.606190853323523,7.741532325744629,37800,0.0,0
2003-12-26,7.725289619473127,7.8227351049012395,7.665739055631183,7.687393665313721,117500,0.0,0
2003-12-29,7.741530447663376,7.795666713726412,7.530397616043664,7.687393665313721,216100,0.0,0
2003-12-30,7.795665516968361,7.795665516968361,7.5899470147086046,7.595360279083252,94300,0.0,0
2003-12-31,7.633255037579657,7.768596435293577,7.579118271979505,7.730700492858887,86400,0.0,0
2004-01-02,7.741529955184806,7.876871386162559,7.741529955184806,7.795666217803955,147000,0.0,0
2004-01-05,7.822734607256823,7.822734607256823,7.768598344637674,7.795666217803955,15600,0.0,0
2004-01-06,7.774013465322204,7.876873266540619,7.774013465322204,7.871459484100342,184700,0.0,0
2004-01-07,7.903936384449457,7.931004246002334,7.763181232714492,7.774008274078369,184800,0.0,0
2004-01-08,7.768600984927105,7.84439188161004,7.660327390317035,7.71446418762207,190200,0.0,0
2004-01-09,7.768601150507587,7.887701281058352,7.714464352048676,7.84980583190918,652700,0.0,0
2004-01-12,7.741529692851481,7.768598081387096,7.660324527244636,7.746943473815918,464400,0.0,0
2004-01-13,7.741532859276482,7.741532859276482,7.579122977920823,7.665741443634033,97800,0.0,0
2004-01-14,7.687392460709655,7.8498022660226034,7.676565415708279,7.8227338790893555,91600,0.0,0
2004-01-15,7.822734817571477,7.833562380158359,7.746943944609709,7.790253162384033,142900,0.0,0
2004-01-16,7.7956657454767155,7.8227341332895515,7.709047317504883,7.709047317504883,70800,0.0,0
2004-01-20,7.741530414671223,7.822735071563015,7.741530414671223,7.763185024261475,54500,0.0,0
2004-01-21,7.741529936782789,7.784839153289795,7.6007747249917275,7.784839153289795,358900,0.0,0
2004-01-22,7.795667831192621,7.941836854717247,7.746945339637773,7.876873016357422,355400,0.0,0
2004-01-23,7.876869453914683,8.098829263664143,7.855214850921723,8.055520057678223,237100,0.0,0
2004-01-26,8.039279469187058,8.33703013996056,7.887696727524884,8.309962272644043,142900,0.0,0
2004-01-27,8.293723516733488,8.607715625269213,8.282896469690861,8.423651695251465,105100,0.0,0
2004-01-28,8.434478498869979,8.526510719366065,8.342446278373892,8.50485610961914,35200,0.0,0
2004-01-29,8.504854679830652,8.77012424999313,8.418236255404755,8.43989086151123,72800,0.0,0
2004-01-30,8.472375171017296,8.472375171017296,8.255829042004,8.391170501708984,74500,0.0,0
2004-02-02,8.391170744243642,8.418239140224351,8.364102348262934,8.407411575317383,24100,0.0,0
2004-02-03,8.445306846874786,8.472374724359424,8.309965394304912,8.33703327178955,22500,0.0,0
