Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-07-17,10.699999809265137,10.930000305175781,10.510000228881836,10.630000114440918,2635000,0,0
2020-07-20,10.800000190734863,10.800000190734863,10.649999618530273,10.720000267028809,163100,0,0
2020-07-21,10.699999809265137,10.890000343322754,10.675000190734863,10.699999809265137,55700,0,0
2020-07-22,10.699999809265137,10.850000381469727,10.600000381469727,10.850000381469727,404900,0,0
2020-07-23,10.609999656677246,10.899999618530273,10.609999656677246,10.8100004196167,35000,0,0
2020-07-24,11.0,11.75,10.699999809265137,10.800000190734863,56700,0,0
2020-07-27,10.88700008392334,10.9399995803833,10.800000190734863,10.869999885559082,6700,0,0
2020-07-28,10.899999618530273,10.949999809265137,10.850000381469727,10.850000381469727,9200,0,0
2020-07-29,10.949999809265137,10.949999809265137,10.800000190734863,10.800000190734863,4300,0,0
2020-07-30,10.710000038146973,10.838000297546387,10.4399995803833,10.5600004196167,105300,0,0
2020-07-31,10.760000228881836,10.767000198364258,10.5,10.645000457763672,159100,0,0
2020-08-03,10.649999618530273,10.758999824523926,10.5,10.550000190734863,8600,0,0
2020-08-04,10.550000190734863,10.600000381469727,10.3100004196167,10.5,60000,0,0
2020-08-05,10.5,10.600000381469727,10.300000190734863,10.399999618530273,97800,0,0
2020-08-06,10.385000228881836,10.385000228881836,10.3149995803833,10.324999809265137,6500,0,0
2020-08-07,10.449999809265137,10.449999809265137,10.350000381469727,10.390000343322754,3900,0,0
2020-08-10,10.449999809265137,10.449999809265137,10.399999618530273,10.399999618530273,400,0,0
2020-08-11,10.300000190734863,10.449999809265137,10.300000190734863,10.390000343322754,26800,0,0
2020-08-12,10.300000190734863,10.39900016784668,10.300000190734863,10.39900016784668,3700,0,0
2020-08-13,10.39900016784668,10.39900016784668,10.39900016784668,10.39900016784668,0,0,0
2020-08-14,10.3100004196167,10.39900016784668,10.3100004196167,10.368000030517578,2600,0,0
2020-08-17,10.498000144958496,10.498000144958496,10.300000190734863,10.350000381469727,52800,0,0
2020-08-18,10.402000427246094,10.402000427246094,10.350000381469727,10.350000381469727,700,0,0
2020-08-19,10.404999732971191,10.404999732971191,10.300000190734863,10.300000190734863,56800,0,0
2020-08-20,10.350000381469727,10.350000381469727,10.300000190734863,10.350000381469727,6300,0,0
2020-08-21,10.350000381469727,10.350000381469727,10.300000190734863,10.350000381469727,87900,0,0
2020-08-24,10.350000381469727,10.401000022888184,10.300000190734863,10.300000190734863,48400,0,0
2020-08-25,10.489999771118164,10.489999771118164,10.489999771118164,10.489999771118164,500,0,0
2020-08-26,10.369999885559082,10.369999885559082,10.300000190734863,10.350000381469727,14400,0,0
2020-08-27,10.369999885559082,10.380000114440918,10.300000190734863,10.300000190734863,12800,0,0
2020-08-28,10.350000381469727,10.350000381469727,10.25,10.300000190734863,63500,0,0
2020-08-31,10.333999633789062,10.333999633789062,10.300000190734863,10.3100004196167,3900,0,0
2020-09-01,10.350000381469727,10.380000114440918,10.324999809265137,10.350000381469727,5300,0,0
2020-09-02,10.350000381469727,10.399999618530273,10.300000190734863,10.399999618530273,43900,0,0
2020-09-03,10.319999694824219,10.399999618530273,10.319999694824219,10.399999618530273,8500,0,0
2020-09-04,10.399999618530273,10.600000381469727,10.399999618530273,10.567999839782715,63000,0,0
2020-09-08,10.524999618530273,10.543000221252441,10.5,10.543000221252441,21800,0,0
2020-09-09,10.600000381469727,10.739999771118164,10.569999694824219,10.619999885559082,38500,0,0
2020-09-10,10.640000343322754,10.64900016784668,10.640000343322754,10.64900016784668,1200,0,0
2020-09-11,10.649999618530273,10.649999618530273,10.329999923706055,10.574999809265137,8600,0,0
2020-09-14,10.489999771118164,10.649999618530273,10.489999771118164,10.600000381469727,5200,0,0
