Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-09-21,29.43000030517578,29.506000518798828,29.219999313354492,29.506000518798828,63800,0,0
2020-09-22,29.75,29.80900001525879,29.55900001525879,29.763999938964844,105600,0,0
2020-09-23,29.809999465942383,29.809999465942383,29.288000106811523,29.288000106811523,33900,0,0
2020-09-24,29.239999771118164,29.4689998626709,29.239999771118164,29.31599998474121,34400,0,0
2020-09-25,29.3700008392334,29.7189998626709,29.360000610351562,29.639999389648438,59600,0,0
2020-09-28,29.979999542236328,30.194000244140625,29.90399932861328,29.922000885009766,74400,0,0
2020-09-29,29.979999542236328,29.989999771118164,29.791000366210938,29.878000259399414,27200,0,0
2020-09-30,29.989999771118164,30.200000762939453,29.989999771118164,30.100000381469727,21700,0,0
2020-10-01,30.239999771118164,30.239999771118164,29.99799919128418,30.066999435424805,8900,0,0
2020-10-02,29.969999313354492,30.100000381469727,29.878000259399414,30.0,52100,0,0
2020-10-05,30.110000610351562,30.329999923706055,30.110000610351562,30.329999923706055,129700,0,0
2020-10-06,30.360000610351562,30.459999084472656,30.024999618530273,30.094999313354492,24500,0,0
2020-10-07,30.305999755859375,30.440000534057617,30.270000457763672,30.420000076293945,15100,0,0
2020-10-08,30.489999771118164,30.555999755859375,30.434999465942383,30.538000106811523,25100,0,0
2020-10-09,30.790000915527344,30.790000915527344,30.649999618530273,30.718000411987305,8600,0,0
2020-10-12,30.81999969482422,31.09000015258789,30.81999969482422,31.013999938964844,13000,0,0
2020-10-13,30.96500015258789,30.969999313354492,30.85700035095215,30.85700035095215,20000,0,0
2020-10-14,30.959999084472656,30.959999084472656,30.725000381469727,30.761999130249023,22900,0,0
2020-10-15,30.708999633789062,30.80900001525879,30.65399932861328,30.69499969482422,13300,0,0
2020-10-16,30.969999313354492,30.969999313354492,30.731000900268555,30.731000900268555,7700,0,0
2020-10-19,30.809999465942383,30.809999465942383,30.381999969482422,30.381999969482422,2500,0,0
2020-10-20,30.549999237060547,30.7450008392334,30.424999237060547,30.54599952697754,25500,0,0
2020-10-21,30.628999710083008,30.649999618530273,30.485000610351562,30.5,5300,0,0
2020-10-22,30.5049991607666,30.729999542236328,30.5049991607666,30.709999084472656,7300,0,0
2020-10-23,30.708999633789062,30.708999633789062,30.545000076293945,30.68000030517578,3900,0,0
2020-10-26,30.249000549316406,30.350000381469727,30.15999984741211,30.288000106811523,3900,0,0
2020-10-27,30.350000381469727,30.40999984741211,30.28700065612793,30.291000366210938,24000,0,0
2020-10-28,29.940000534057617,30.079999923706055,29.469999313354492,29.6299991607666,23500,0,0
2020-10-29,29.707000732421875,29.989999771118164,29.707000732421875,29.84600067138672,9900,0,0
2020-10-30,29.809999465942383,29.809999465942383,29.32900047302246,29.479999542236328,33700,0,0
2020-11-02,29.85099983215332,29.94499969482422,29.700000762939453,29.81100082397461,4700,0,0
2020-11-03,30.110000610351562,30.24799919128418,30.110000610351562,30.218000411987305,7300,0,0
2020-11-04,30.670000076293945,30.920000076293945,30.618999481201172,30.618999481201172,1700,0,0
2020-11-05,31.059999465942383,31.059999465942383,30.937999725341797,30.937999725341797,4500,0,0
2020-11-06,30.954999923706055,31.139999389648438,30.774999618530273,30.992000579833984,6700,0,0
