Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1998-05-07,7.894037254303099,7.9256134033203125,7.830884956268675,7.9256134033203125,12600,0.0,0.0
1998-05-08,7.957192413450226,8.020344734191895,7.894040092708558,8.020344734191895,21700,0.0,0.0
1998-05-11,7.98876857382106,8.083497054933563,7.957192413450226,8.020344734191895,12300,0.0,0.0
1998-05-12,8.020344734191895,8.051920894562729,7.957192413450226,8.020344734191895,15500,0.0,0.0
1998-05-13,8.083497054933563,8.083497054933563,7.957192413450226,8.020344734191895,11300,0.0,0.0
1998-05-14,7.925611480712891,8.0834921875,7.894035339355469,7.894035339355469,20000,0.0,0.0
1998-05-15,7.830887317657471,7.957191951813237,7.767735000579588,7.830887317657471,40200,0.0,0.0
1998-05-18,7.799308230479558,7.799308230479558,7.578275203704834,7.578275203704834,23500,0.0,0.0
1998-05-19,7.641426604134695,7.736155033111572,7.641426604134695,7.736155033111572,9900,0.0,0.0
1998-05-20,7.641427516937256,7.736155957229867,7.578275223408849,7.641427516937256,24200,0.0,0.0
1998-05-21,7.578275223408849,7.641427516937256,7.578275223408849,7.641427516937256,30200,0.0,0.0
1998-05-22,7.641426038542552,7.641426038542552,7.546697616577148,7.546697616577148,17700,0.0,0.0
1998-05-26,7.641426038542552,7.641426038542552,7.546697616577148,7.546697616577148,23700,0.0,0.0
1998-05-27,7.546699016781177,7.641427456322362,7.357242137698804,7.45197057723999,32100,0.0,0.0
1998-05-28,7.641427516937256,7.641427516937256,7.578275223408849,7.641427516937256,2900,0.0,0.0
1998-05-29,7.641430374051704,7.704582691192627,7.578278056910781,7.704582691192627,18100,0.0,0.0
1998-06-01,7.578276609763122,7.578276609763122,7.388819694519043,7.388819694519043,29700,0.0,0.0
1998-06-02,7.45197061697642,7.641427497069041,7.388818323612213,7.578275203704834,37300,0.0,0.0
1998-06-03,7.546699016781177,7.546699016781177,7.325665991185075,7.45197057723999,22600,0.0,0.0
1998-06-04,7.45197057723999,7.515122870267447,7.325665991185075,7.45197057723999,13300,0.0,0.0
1998-06-05,7.451972488595659,7.515124797821045,7.451972488595659,7.515124797821045,1400,0.0,0.0
1998-06-08,7.483548643208352,7.515124797821045,7.262515560919498,7.515124797821045,14400,0.0,0.0
1998-06-09,7.26251649242614,7.388821127077029,7.199364175100695,7.357244968414307,67300,0.0,0.0
1998-06-10,7.388818243454242,7.388818243454242,7.26251365809605,7.3256659507751465,32400,0.0,0.0
1998-06-11,7.325664923579683,7.325664923579683,7.073055788283831,7.167784214019775,30500,0.0,0.0
1998-06-12,7.0099040072897205,7.262513160705566,6.97832786311274,7.262513160705566,35200,0.0,0.0
1998-06-15,7.136208946054632,7.136208946054632,6.946752071380615,6.946752071380615,25900,0.0,0.0
1998-06-16,7.041483413188829,7.041483413188829,6.820450301564068,6.883602619171143,13200,0.0,0.0
1998-06-17,7.009903460741043,7.073055744171143,6.915175035595894,7.073055744171143,17300,0.0,0.0
1998-06-18,7.073056665480946,7.073056665480946,6.883599790512706,6.978328227996826,29000,0.0,0.0
1998-06-19,6.820448901202227,7.073058119765273,6.820448901202227,7.009905815124512,17400,0.0,0.0
1998-06-22,7.009905788633559,7.009905788633559,6.820448875427246,6.820448875427246,9100,0.0,0.0
1998-06-23,6.883599370320638,7.167784665425619,6.883599370320638,7.104632377624512,29300,0.0,0.0
1998-06-24,7.136205723411158,7.262510249489232,7.136205723411158,7.199357986450195,31500,0.0,0.0
1998-06-25,7.262510249489232,7.262510249489232,7.199357986450195,7.199357986450195,8800,0.0,0.0
1998-06-26,7.26251365809605,7.3256659507751465,7.199361365416954,7.3256659507751465,71700,0.0,0.0
1998-06-29,7.325665991185075,7.578275163294905,7.262513698157617,7.45197057723999,23600,0.0,0.0
1998-06-30,7.578275163294905,7.578275163294905,7.388818284212532,7.45197057723999,9800,0.0,0.0
1998-07-01,7.502838134765625,7.6300048828125,7.37567138671875,7.5664215087890625,20000,0.1,0.0
1998-07-02,7.5664215087890625,7.5664215087890625,7.4392547607421875,7.5664215087890625,8300,0.0,0.0
1998-07-06,7.566423448741945,7.566423448741945,7.43925666809082,7.43925666809082,34100,0.0,0.0
1998-07-07,7.4392533363179965,7.502836698166868,7.375669974469124,7.471045017242432,12300,0.0,0.0
1998-07-08,7.5028395899410905,7.5028395899410905,7.375672817230225,7.375672817230225,4500,0.0,0.0
1998-07-09,7.375672817230225,7.439256203585658,7.375672817230225,7.375672817230225,45200,0.0,0.0
1998-07-10,7.407464981079102,7.407464981079102,7.375673285881337,7.407464981079102,13200,0.0,0.0
1998-07-13,7.343881124052508,7.439256203585658,7.343881124052508,7.375672817230225,4800,0.0,0.0
1998-07-14,7.471045017242432,7.471045017242432,7.375669974469124,7.471045017242432,17600,0.0,0.0
1998-07-15,7.471045017242432,7.471045017242432,7.40746165539356,7.471045017242432,5700,0.0,0.0
1998-07-16,7.407464972928039,7.471048363253602,7.407464972928039,7.43925666809082,21400,0.0,0.0
1998-07-17,7.4392533363179965,7.471045017242432,7.40746165539356,7.471045017242432,11300,0.0,0.0
1998-07-20,7.43925666809082,7.471048363253602,7.43925666809082,7.43925666809082,4200,0.0,0.0
1998-07-21,7.43925666809082,7.471048363253602,7.407464972928039,7.43925666809082,49600,0.0,0.0
1998-07-22,7.439252313814665,7.439252313814665,7.248502254486084,7.248502254486084,12500,0.0,0.0
1998-07-23,7.248504153319767,7.31208752308573,7.121337413787842,7.121337413787842,9600,0.0,0.0
1998-07-24,7.121337413787842,7.184920783553804,7.057754044021879,7.121337413787842,11500,0.0,0.0
1998-07-27,7.057752121627601,7.121335474074696,6.994168769180505,7.025960445404053,27600,0.0,0.0
1998-07-28,7.05775548777449,7.05775548777449,6.930588722229004,6.930588722229004,25500,0.0,0.0
1998-07-29,6.9305877685546875,7.121337890625,6.9305877685546875,6.994171142578125,16300,0.0,0.0
1998-07-30,7.121337890625,7.121337890625,6.994171142578125,6.994171142578125,37500,0.0,0.0
1998-07-31,7.121338884220567,7.121338884220567,6.835213661193848,6.835213661193848,15500,0.0,0.0
1998-08-03,6.867002909000104,6.867002909000104,6.612669467926025,6.612669467926025,8800,0.0,0.0
1998-08-04,6.612669926063687,6.6444616084005315,6.485503196716309,6.485503196716309,70900,0.0,0.0
1998-08-05,6.549086561389998,6.549086561389998,6.421919832042619,6.485503196716309,27800,0.0,0.0
1998-08-06,6.549085151746078,6.708043529215642,6.485501800758251,6.58087682723999,24300,0.0,0.0
1998-08-07,6.6444611480602855,6.6444611480602855,6.549086107657506,6.612669467926025,12500,0.0,0.0
1998-08-10,6.644464058241821,6.644464058241821,6.390130505773235,6.453713893890381,21900,0.0,0.0
1998-08-11,6.485503196716309,6.612669926063687,6.262961420358396,6.485503196716309,32000,0.0,0.0
1998-08-12,6.485504150390625,6.485504150390625,6.390129089355469,6.390129089355469,29700,0.0,0.0
1998-08-13,6.485503196716309,6.485503196716309,6.390128149705775,6.485503196716309,5200,0.0,0.0
1998-08-14,6.390129089355469,6.485504150390625,6.390129089355469,6.390129089355469,17600,0.0,0.0
1998-08-17,6.390129089355469,6.4219207763671875,6.390129089355469,6.390129089355469,29100,0.0,0.0
1998-08-18,6.390130505773235,6.485505587948954,6.231172035480368,6.453713893890381,38000,0.0,0.0
1998-08-19,6.3583383149507515,6.739838613847796,6.231171548651736,6.644463539123535,37800,0.0,0.0
1998-08-20,6.549086050987244,6.549086050987244,6.358335971832275,6.358335971832275,29000,0.0,0.0
1998-08-21,6.358336910759051,6.358336910759051,5.9132533270059175,6.167586803436279,29200,0.0,0.0
1998-08-24,6.231171141068141,6.294754520058632,6.104004383087158,6.104004383087158,36500,0.0,0.0
1998-08-25,6.167586803436279,6.294753541651461,6.040420065221098,6.167586803436279,41900,0.0,0.0
1998-08-26,5.9768376507601895,6.104004409287002,5.722504133706565,5.786087512969971,25800,0.0,0.0
1998-08-27,5.849666754404703,5.849666754404703,5.341000080108643,5.341000080108643,60300,0.0,0.0
1998-08-28,5.6589193011439125,5.6589193011439125,5.341002486472906,5.468169212341309,59500,0.0,0.0
1998-08-31,5.595338507543636,5.722505291805992,4.5144208413136155,5.023087978363037,128600,0.0,0.0
1998-09-01,5.2138356862578,5.2138356862578,4.832335514092596,5.054877281188965,134500,0.0,0.0
1998-09-02,5.213833411534627,5.849666754404703,5.15025007724762,5.341000080108643,102900,0.0,0.0
1998-09-03,5.468171077304416,5.849671385023329,5.213837538825141,5.722504615783691,70700,0.0,0.0
1998-09-04,5.595336437225342,5.849669911644676,5.5317530686205085,5.595336437225342,25600,0.0,0.0
1998-09-08,5.690711057314309,6.040419558043121,5.690711057314309,5.913252830505371,17800,0.0,0.0
1998-09-09,5.913255177243218,6.1675887332536785,5.849671788240602,6.072213649749756,35700,0.0,0.0
1998-09-10,6.104001418403957,6.104001418403957,5.72250132975371,5.849668025970459,13000,0.0,0.0
1998-09-11,5.849666532231958,5.849666532231958,5.722499868487785,5.754291534423828,12700,0.0,0.0
1998-09-14,5.849671385023329,5.976838154262967,5.722504615783691,5.722504615783691,25300,0.0,0.0
