Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-10-30,23.795010260736923,23.84720118399924,23.761797032303996,23.83771324157715,4336500,0.0,0
2019-10-31,23.837713241577145,23.837713241577145,23.837713241577145,23.83771324157715,0,0.0,0
2019-11-01,23.83771401339549,23.96107717871417,23.761797801664322,23.90414047241211,787600,0.0,0
2019-11-04,23.866181461553893,23.96107717871417,23.72383879080611,23.90414047241211,267600,0.0,0
2019-11-05,23.866183094543775,24.008525775031035,23.74281992078425,23.93260955810547,849600,0.0,0
2019-11-06,23.904140031199045,23.999035746607774,23.780775058172132,23.961076736450195,507500,0.0,0
2019-11-07,23.951586126155384,24.00852282936751,23.723837503321715,23.81873321533203,518800,0.0,0
2019-11-08,23.913631463895168,23.951588666734374,23.72384001974308,23.73332977294922,90700,0.0,0
2019-11-11,23.818735741819125,23.818735741819125,23.71435026653694,23.73332977294922,62200,0.0,0
2019-11-12,23.809245814340635,23.81873556747731,23.73332959923254,23.761798858642578,71700,0.0,0
2019-11-13,23.771286088196252,23.961077525261747,23.752308392477932,23.84720230102539,277800,0.0,0
2019-11-14,23.95158638064008,23.95158638064008,23.77128470690329,23.866180419921875,128300,0.0,0
2019-11-15,23.91362848523855,24.103418095765285,23.790263518910297,24.055971145629883,319600,0.0,0
2019-11-18,24.046483316843943,24.046483316843943,23.818734680005445,23.87567138671875,156200,0.0,0
2019-11-19,23.866182846984756,23.923119556591992,23.43915480995244,23.885162353515625,169200,0.0,0
2019-11-20,23.96107640290157,23.96107640290157,23.790264479540674,23.83771324157715,92500,0.0,0
2019-11-21,23.86618041992187,23.913629181423754,23.82822322070555,23.866180419921875,278100,0.0,0
2019-11-22,23.91362953186035,23.96107648407235,23.818733817451143,23.91362953186035,174700,0.0,0
2019-11-25,23.90414186004649,23.942099063122857,23.83771539717382,23.885162353515625,58400,0.0,0
2019-11-26,23.951587598998252,23.951587598998252,23.86997717305184,23.87567138671875,405200,0.0,0
