Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-10-05,8.699999809265137,9.194999694824219,8.699999809265137,8.75,20100,0,0
2020-10-06,9.75,9.75,8.5,8.64799976348877,10400,0,0
2020-10-07,9.0,9.0,8.470000267028809,8.565999984741211,21000,0,0
2020-10-08,8.479999542236328,8.479999542236328,8.300000190734863,8.300000190734863,7000,0,0
2020-10-09,8.399999618530273,8.597000122070312,8.399999618530273,8.5,15100,0,0
2020-10-12,8.425000190734863,8.5,7.539999961853027,8.5,10100,0,0
2020-10-13,8.5,8.5,8.0,8.239999771118164,939500,0,0
2020-10-14,8.5,8.5,8.0,8.15999984741211,1008700,0,0
2020-10-15,8.550000190734863,8.550000190734863,6.570000171661377,7.739999771118164,700300,0,0
2020-10-16,7.880000114440918,8.0,7.699999809265137,7.800000190734863,558100,0,0
2020-10-19,8.0,8.350000381469727,7.949999809265137,7.989999771118164,2900,0,0
2020-10-20,7.942999839782715,8.0,7.900000095367432,7.900000095367432,404500,0,0
2020-10-21,8.130000114440918,8.130000114440918,7.625,7.625,6500,0,0
2020-10-22,7.875,7.900000095367432,7.650000095367432,7.75,19200,0,0
2020-10-23,8.0,8.0,7.71999979019165,7.820000171661377,2386900,0,0
2020-10-26,7.920000076293945,7.940000057220459,7.650000095367432,7.75,606900,0,0
2020-10-27,7.860000133514404,8.223999977111816,7.458000183105469,7.650000095367432,21200,0,0
2020-10-28,7.590000152587891,7.699999809265137,7.5,7.610000133514404,5400,0,0
2020-10-29,7.5,8.149999618530273,7.5,7.824999809265137,3300,0,0
2020-10-30,7.5,7.5,7.485000133514404,7.5,600,0,0
2020-11-02,7.650000095367432,7.760000228881836,7.309999942779541,7.760000228881836,1015900,0,0
2020-11-03,7.988999843597412,8.5,7.889999866485596,8.5,10100,0,0
2020-11-04,7.999000072479248,8.5,7.999000072479248,8.5,1121500,0,0
2020-11-05,8.5,9.15999984741211,8.25,9.15999984741211,13700,0,0
2020-11-06,9.0,9.0,8.100000381469727,8.970000267028809,15900,0,0
2020-11-09,8.90999984741211,10.052000045776367,8.100000381469727,9.869999885559082,1426800,0,0
2020-11-10,9.75,9.75,9.289999961853027,9.5,21900,0,0
2020-11-11,9.5,9.75,9.34000015258789,9.5,45300,0,0
2020-11-12,9.420000076293945,9.550000190734863,9.420000076293945,9.5,10700,0,0
2020-11-13,9.5,9.5,9.199999809265137,9.199999809265137,33800,0,0
2020-11-16,9.4399995803833,10.0,9.0,9.25,106500,0,0
2020-11-17,9.489999771118164,9.489999771118164,8.5,8.619999885559082,96200,0,0
2020-11-18,8.970000267028809,9.5,8.6899995803833,8.989999771118164,365000,0,0
2020-11-19,8.880000114440918,9.494999885559082,8.739999771118164,9.010000228881836,1474700,0,0
2020-11-20,9.0,9.520000457763672,8.597999572753906,9.0,85900,0,0
2020-11-23,9.050000190734863,9.5,8.600000381469727,8.779999732971191,83400,0,0
2020-11-24,8.970000267028809,9.234999656677246,8.710000038146973,9.010000228881836,61200,0,0
2020-11-25,9.050000190734863,9.140000343322754,8.149999618530273,8.90999984741211,397200,0,0
2020-11-27,8.100000381469727,9.140000343322754,7.909999847412109,9.0,28900,0,0
2020-11-30,8.9399995803833,9.140000343322754,8.819999694824219,9.0,83200,0,0
2020-12-01,9.149999618530273,12.510000228881836,8.975000381469727,10.199999809265137,844700,0,0
2020-12-02,10.130000114440918,11.239999771118164,9.229999542236328,10.569999694824219,116900,0,0
2020-12-03,10.579999923706055,11.300000190734863,10.369999885559082,11.100000381469727,183400,0,0
2020-12-04,11.119999885559082,11.5,10.760000228881836,11.25,224200,0,0
2020-12-07,10.989999771118164,11.699999809265137,10.989999771118164,11.199999809265137,305200,0,0
2020-12-08,11.369999885559082,12.75,11.25,11.699999809265137,285400,0,0
2020-12-09,11.739999771118164,12.100000381469727,11.524999618530273,11.6899995803833,150500,0,0
2020-12-10,11.779999732971191,11.890000343322754,10.654999732971191,10.979999542236328,910600,0,0
2020-12-11,10.75,11.619999885559082,10.75,10.9399995803833,266700,0,0
2020-12-14,11.119999885559082,12.154999732971191,11.119999885559082,11.5,1214900,0,0
2020-12-15,11.520000457763672,11.899999618530273,11.460000038146973,11.6899995803833,413000,0,0
2020-12-16,11.59000015258789,13.4399995803833,11.59000015258789,12.380000114440918,859000,0,0
2020-12-17,12.420000076293945,12.800000190734863,12.420000076293945,12.550000190734863,885500,0,0
2020-12-18,12.5600004196167,13.199999809265137,12.369999885559082,12.369999885559082,4178800,0,0
2020-12-21,12.140000343322754,12.65999984741211,10.930000305175781,12.5,797100,0,0
2020-12-22,13.130000114440918,14.199000358581543,13.130000114440918,13.470000267028809,693700,0,0
2020-12-23,13.329999923706055,13.739999771118164,13.199999809265137,13.199999809265137,274200,0,0
2020-12-24,13.180000305175781,13.449999809265137,13.020000457763672,13.050000190734863,132754,0,0
