Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-09-27,537.5,550.0,475.0,500.0,94600,0,0.0
2018-09-28,498.75,504.25,439.75,455.0,8200,0,0.0
2018-10-01,455.0,456.5,365.0,370.25,25900,0,0.0
2018-10-02,370.25,385.75,338.0,357.25,16600,0,0.0
2018-10-03,357.0,362.25,333.0,362.25,10400,0,0.0
2018-10-04,360.75,360.75,316.25,347.5,5700,0,0.0
2018-10-05,345.0,347.0,327.5,335.5,8400,0,0.0
2018-10-08,340.0,341.5,320.25,325.0,2400,0,0.0
2018-10-09,322.5,330.0,303.0,317.5,5600,0,0.0
2018-10-10,317.25,317.25,302.75,306.25,3400,0,0.0
2018-10-11,306.0,312.25,302.5,305.0,3000,0,0.0
2018-10-12,318.25,318.25,288.75,301.75,4000,0,0.0
2018-10-15,276.0,312.0,276.0,281.0,5100,0,0.0
2018-10-16,280.0,292.5,269.0,285.0,6000,0,0.0
2018-10-17,283.5,290.0,275.0,280.0,3400,0,0.0
2018-10-18,279.25,299.5,275.0,298.75,3700,0,0.0
2018-10-19,300.0,342.5,299.75,333.75,7000,0,0.0
2018-10-22,332.25,333.75,268.25,300.25,10800,0,0.0
2018-10-23,297.25,298.5,281.25,287.5,4800,0,0.0
2018-10-24,287.5,295.0,270.0,282.5,5000,0,0.0
2018-10-25,285.0,287.5,268.0,269.25,4100,0,0.0
2018-10-26,270.5,293.75,262.5,280.0,4400,0,0.0
2018-10-29,282.0,287.25,265.0,267.75,1500,0,0.0
2018-10-30,267.75,275.0,258.75,265.0,1600,0,0.0
2018-10-31,264.75,272.75,259.5,267.5,2700,0,0.0
2018-11-01,268.75,275.0,262.0,263.75,3500,0,0.0
2018-11-02,268.75,280.0,268.75,271.25,2500,0,0.0
2018-11-05,273.25,273.25,260.25,260.25,1400,0,0.0
2018-11-06,259.5,261.25,233.25,249.25,4800,0,0.0
2018-11-07,250.25,268.75,243.75,243.75,1200,0,0.0
2018-11-08,243.5,246.25,218.75,220.25,4100,0,0.0
2018-11-09,221.0,231.25,207.25,222.75,5100,0,0.0
2018-11-12,220.75,226.0,210.25,210.25,2600,0,0.0
2018-11-13,216.75,216.75,187.5,205.75,5500,0,0.0
2018-11-14,213.0,229.25,194.0,212.0,8600,0,0.0
2018-11-15,210.5,222.0,204.25,213.75,4400,0,0.0
2018-11-16,215.5,225.0,196.25,203.5,4800,0,0.0
2018-11-19,205.5,215.0,198.25,207.75,4100,0,0.0
2018-11-20,206.25,211.5,201.0,204.25,1800,0,0.0
2018-11-21,205.0,216.5,205.0,210.0,4700,0,0.0
2018-11-23,207.25,208.5,194.5,194.75,2800,0,0.0
2018-11-26,195.5,205.25,195.5,202.5,7800,0,0.0
2018-11-27,202.5,210.5,197.0,198.0,5200,0,0.0
2018-11-28,200.5,209.75,199.75,208.0,8300,0,0.0
2018-11-29,209.75,224.75,202.75,224.75,2400,0,0.0
2018-11-30,228.5,258.25,226.75,250.0,8900,0,0.0
2018-12-03,255.0,260.75,247.5,249.0,3000,0,0.0
2018-12-04,257.0,257.0,239.75,242.5,3500,0,0.0
2018-12-06,246.0,247.5,225.5,229.75,3900,0,0.0
2018-12-07,229.25,234.0,224.5,225.75,800,0,0.0
2018-12-10,226.5,231.0,212.5,221.0,2500,0,0.0
2018-12-11,227.5,234.75,206.75,210.5,3400,0,0.0
2018-12-12,211.0,211.5,199.75,201.75,3200,0,0.0
2018-12-13,202.5,210.0,200.0,201.5,1800,0,0.0
2018-12-14,196.5,200.75,190.25,195.0,1500,0,0.0
2018-12-17,197.5,202.0,188.75,192.5,1900,0,0.0
2018-12-18,192.5,200.5,190.0,199.5,6400,0,0.0
2018-12-19,200.75,208.75,194.75,199.25,6500,0,0.0
2018-12-20,198.25,203.75,196.25,200.75,6200,0,0.0
2018-12-21,200.75,206.25,195.5,199.25,5500,0,0.0
2018-12-24,200.0,201.25,184.25,186.5,2500,0,0.0
2018-12-26,187.5,189.75,178.75,188.25,5600,0,0.0
2018-12-27,184.75,188.75,181.25,183.75,2400,0,0.0
2018-12-28,185.0,194.0,183.25,189.75,900,0,0.0
2018-12-31,195.5,199.75,186.75,198.75,3500,0,0.0
2019-01-02,197.5,207.75,194.0,205.75,5600,0,0.0
2019-01-03,205.0,212.5,205.0,207.0,1800,0,0.0
2019-01-04,209.25,216.25,207.5,211.75,2700,0,0.0
2019-01-07,214.0,234.0,209.5,232.5,2500,0,0.0
2019-01-08,240.0,242.25,232.25,241.5,1400,0,0.0
2019-01-09,244.5,247.25,234.0,242.5,1400,0,0.0
2019-01-10,252.0,254.75,238.0,238.75,900,0,0.0
2019-01-11,238.25,254.75,238.25,244.75,800,0,0.0
2019-01-14,244.75,244.75,237.5,242.25,1900,0,0.0
2019-01-15,245.5,250.0,242.75,243.0,1000,0,0.0
2019-01-16,244.25,245.5,234.75,237.0,2200,0,0.0
2019-01-17,227.75,234.5,225.5,225.5,1900,0,0.0
2019-01-18,224.5,225.5,213.0,215.75,2200,0,0.0
2019-01-22,214.75,214.75,205.0,207.5,600,0,0.0
2019-01-23,209.75,217.5,209.75,215.0,1100,0,0.0
2019-01-24,216.5,217.5,211.0,211.25,700,0,0.0
2019-01-25,212.5,217.0,203.75,204.25,500,0,0.0
2019-01-28,204.5,213.25,203.0,203.0,200,0,0.0
2019-01-29,205.0,209.25,191.0,193.0,1900,0,0.0
2019-01-30,194.75,199.25,183.0,183.0,4000,0,0.0
2019-01-31,186.0,190.0,183.0,184.5,1700,0,0.0
2019-02-01,187.0,187.0,183.75,183.75,1700,0,0.0
2019-02-04,183.75,191.75,183.75,186.0,900,0,0.0
2019-02-05,186.0,190.0,183.75,183.75,700,0,0.0
2019-02-06,185.25,191.25,171.5,176.0,3000,0,0.0
2019-02-07,177.25,183.0,165.0,167.5,3100,0,0.0
2019-02-08,169.0,181.5,169.0,178.0,1700,0,0.0
2019-02-11,180.0,184.0,172.0,173.25,1000,0,0.0
2019-02-12,173.25,176.75,170.75,170.75,600,0,0.0
2019-02-13,173.5,176.75,171.25,174.0,200,0,0.0
2019-02-14,174.25,174.25,169.5,174.25,600,0,0.0
2019-02-15,173.25,186.0,173.25,184.0,500,0,0.0
2019-02-19,184.0,185.25,180.0,183.75,600,0,0.0
2019-02-20,183.75,193.25,183.75,183.75,1800,0,0.0
2019-02-21,182.5,187.25,177.0,182.5,1200,0,0.0
2019-02-22,185.75,188.5,177.75,177.75,1300,0,0.0
2019-02-25,178.5,184.75,167.5,181.0,2200,0,0.0
2019-02-26,182.5,183.25,170.25,177.5,1100,0,0.0
2019-02-27,180.25,181.75,170.75,174.5,1000,0,0.0
2019-02-28,163.5,172.5,150.0,168.5,2000,0,0.0
2019-03-01,168.25,184.25,168.25,173.75,1400,0,0.0
2019-03-04,165.0,175.25,165.0,175.25,500,0,0.0
2019-03-05,175.25,177.0,168.25,173.75,700,0,0.0
2019-03-06,173.5,173.5,160.0,160.0,2000,0,0.0
