Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2005-07-06,2.70695680300172,2.768081785814425,2.6807604710205353,2.7244210243225098,343200,0.0,0
2005-07-07,2.79427775520236,2.79427775520236,2.7506172075658992,2.7680814266204834,132500,0.0,0
2005-07-08,2.7942779360506944,2.8204742663280222,2.7680816057733666,2.785545825958252,162200,0.0,0
2005-07-11,2.8117420089859335,2.8292062282562256,2.7855456800804954,2.8292062282562256,208200,0.0,0
2005-07-12,2.8554024121707013,2.872866630554199,2.837938193787203,2.872866630554199,203800,0.0,0
2005-07-13,2.8641343967325823,2.8728665055443625,2.8379380702972417,2.837938070297241,93200,0.0,0
2005-07-14,2.8204741186210796,2.8641346667968097,2.8204741186210796,2.8292062282562256,82000,0.0,0
2005-07-15,2.8815989458679203,2.8815989458679203,2.7942778477043153,2.811742067337036,223500,0.0,0
2005-07-18,2.8379384865129076,2.8379384865129076,2.7593494956809237,2.785545825958252,68300,0.0,0
2005-07-19,2.785545825958252,2.8030100461431373,2.7593494956809237,2.785545825958252,203600,0.0,0
2005-07-20,2.8204742663280222,2.8204742663280222,2.776813715865809,2.785545825958252,152500,0.0,0
2005-07-21,2.820473852673681,2.846670179109022,2.8030096350501204,2.837938070297241,101700,0.0,0
2005-07-22,2.8379386678982237,2.8379386678982237,2.79427811464547,2.8030102252960205,80200,0.0,0
2005-07-25,2.8030102252960205,2.8379386678982237,2.79427811464547,2.8030102252960205,58800,0.0,0
2005-07-26,2.79427775520236,2.79427775520236,2.7593493170931915,2.7680814266204834,120900,0.0,0
2005-07-27,2.785545675018724,2.7942777846380022,2.7506172365416104,2.7593493461608887,109200,0.0,0
2005-07-28,2.776813715865809,2.7942779360506944,2.7506173855884812,2.785545825958252,220600,0.0,0
2005-07-29,2.7942773462118784,2.837937887457869,2.776813129713482,2.8204736709594727,172100,0.0,0
2005-08-01,2.846670972847814,2.9689207384896017,2.8379388616012546,2.960188627243042,115300,0.0,0
2005-08-02,2.916527480048389,2.9514561286404635,2.8466705992440935,2.925259590148926,192600,0.0,0
2005-08-03,2.960187579627429,3.0649728775024414,2.960187579627429,3.0649728775024414,404000,0.0,0
2005-08-04,3.082436803451349,3.082436803451349,2.995115730114428,3.00384783744812,112800,0.0,0
2005-08-05,2.9863841818749632,3.003848399811901,2.9514557460010877,2.977652072906494,77200,0.0,0
2005-08-08,2.9776528497361614,2.9863849609827207,2.91652786282029,2.960188627243042,118200,0.0,0
2005-08-09,2.9601882387410003,2.9601882387410003,2.881599039646241,2.925259590148926,139100,0.0,0
2005-08-10,2.9339907706829598,2.9339907706829598,2.881598126679125,2.9165265560150146,241300,0.0,0
2005-08-11,2.916527256829374,3.073705434799194,2.916527256829374,3.0737054347991943,585000,0.0,0
2005-08-12,3.056240856957129,3.1959547996521,3.0125803149242905,3.1959547996520996,369800,0.0,0
2005-08-15,3.204687839503506,3.204687839503506,3.0911701890342513,3.1260986328125,122600,0.0,0
2005-08-16,3.1610268357807914,3.2134197056467735,3.126098394663424,3.2046875953674316,107200,0.0,0
2005-08-17,3.204687715879378,3.204687715879378,3.117366401612319,3.161026954650879,184400,0.0,0
2005-08-18,3.1522941048626527,3.195954855853155,3.1522941048626527,3.17849063873291,100200,0.0,0
2005-08-19,3.1959545886038594,3.1959545886038594,3.1522938412643176,3.187222480773926,83200,0.0,0
2005-08-22,3.2134193939045796,3.2134193939045796,3.05624121593476,3.0737054347991943,116800,0.0,0
2005-08-23,3.1260973401198093,3.1260973401198093,2.907794448587647,3.00384783744812,268600,0.0,0
2005-08-24,3.0213130711827034,3.0737057328565247,3.0125809609037333,3.056241512298584,113800,0.0,0
2005-08-25,3.047508842141267,3.0911693855149456,3.047508842141267,3.08243727684021,108900,0.0,0
